birth,location,date
1920,"Gandowka, Poland",1920.01.01
1920,"Slupienovo, Poland",1920.01.01
1912,"Slupienovo, Poland",1912.01.01
1914,"Slupienovo, Poland",1914.01.01
1890,"Slupienovo, Poland",1890.01.01
1910,"Slupienovo, Poland",1910.01.01
1918,"Slupienovo, Poland",1918.01.01
1915,"Slupienovo, Poland",1915.01.01
1920,"Beuten, Germany",1920.01.01
1920,"Bukachev, Ukraine (USSR)",1920.01.01
1885,"Bukachev, Ukraine (USSR)",1885.01.01
1920,"Nowosielica, Poland",1920.01.01
1899,"Wettitz,",1899.01.01
1902,"Cebinja, Poland",1902.01.01
1912,"Cebinja, Poland",1912.01.01
1882,"Cebinja, Poland",1882.01.01
1914,"Cebinja, Poland",1914.01.01
1914,"Cebinja, Poland",1914.01.01
1910,"Cebinja, Poland",1910.01.01
1908,"Cebinja, Poland",1908.01.01
1902,"Yelen, Poland",1902.01.01
1924,"Yelen, Poland",1924.01.01
1902,"Cizew, Poland",1902.01.01
1904,"Asneitin, Poland",1904.01.01
1880,"Asneitin, Poland",1880.01.01
1910,"Asneitin, Poland",1910.01.01
1904,"Apsa, Czechoslovakia",1904.01.01
1870,"Apsa, Czechoslovakia",1870.01.01
1922,"Apsa, Czechoslovakia",1922.01.01
1930,"Apsa, Czechoslovakia",1930.01.01
1924,"Apsa, Czechoslovakia",1924.01.01
1928,"Apsa, Czechoslovakia",1928.01.01
1926,"Apsa, Czechoslovakia",1926.01.01
1938,"Apsa, Czechoslovakia",1938.01.01
1940,"Apsa, Czechoslovakia",1940.01.01
1872,"Apsa, Czechoslovakia",1872.01.01
1904,"Kovrin, Poland",1904.01.01
1900,"Kovrin, Poland",1900.01.01
1922,"Kovrin, Poland",1922.01.01
1924,"Kovrin, Poland",1924.01.01
1890,"Kovrin, Poland",1890.01.01
1918,"Kovrin, Poland",1918.01.01
1906,"Kovrin, Poland",1906.01.01
1904,"Sovalek, Poland",1904.01.01
1904,"Koshelevo, Czechoslovakia",1904.01.01
1931,"Koshelevo, Czechoslovakia",1931.01.01
1929,"Koshelevo, Czechoslovakia",1929.01.01
1901,"Koshelevo, Czechoslovakia",1901.01.01
1904,"Moskos, Poland",1904.01.01
1923,"Jenofalvarol,",1923.01.01
1923,"Wengerowa, Poland",1923.01.01
1923,"Kaso, Czechoslovakia",1923.01.01
1912,"Virbain, Lithuania",1912.01.01
1912,"Ostovenki, Poland",1912.01.01
1912,"Tarle, Poland",1912.01.01
1890,"Tarle, Poland",1890.01.01
1918,"Tarle, Poland",1918.01.01
1893,"Tarle, Poland",1893.01.01
1908,"Tarle, Poland",1908.01.01
1916,"Tarle, Poland",1916.01.01
1912,"Rezeno, Poland",1912.01.01
1882,"Rezeno, Poland",1882.01.01
1922,"Rezeno, Poland",1922.01.01
1910,"Rezeno, Poland",1910.01.01
1915,"Rezeno, Poland",1915.01.01
1912,"Hermy, Germany",1912.01.01
1880,"Kobece Hazo, Hungary",1880.01.01
