birth,location
1887,"Velbert, Germany"
1887,"Zutphen, The Netherlands"
1912,"Sopochinie, Poland"
1925,"Sopockine, Poland"
1893,"Miskolc, Hungary"
1898,"Zagreb, Yugoslavia"
,"Targu Mures, Romania"
,"Targu Mures, Romania"
,"Trg Mures, Romania"
1914,"Tirgumures, Romania"
,"Kolozsvar, Romania"
1890,"Velka Bytca, Czechoslovakia"
1907,"Amsterdam, The Netherlands"
1938,"Amsterdam, The Netherlands"
1938,"Amsterdam, The Netherlands"
1907,"Amsterdam, The Netherlands"
1938,"Amsterdam, The Netherlands"
1902,"Lodz, Poland"
1872,"Dortmund, Germany"
1884,Germany
1904,"Lodz, Poland"
,"Reghin, Romania"
,"Reghin, Romania"
1928,"Liège, Belgium"
1882,"Ujpest, Hungary"
1884,"Ujpest, Hungary"
1901,"Berezovo, Czechoslovakia"
1922,
1920,"Budszentmihaly, Hungary"
1890,"Hlohovec, Czechoslovakia"
1888,"Retteg, Romania"
1925,"Csataj, Czechoslovakia"
1921,"Ada, Yugoslavia"
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
,Yugoslavia
1912,"Bucarest, Romania"
1895,"Ilnica, Czechoslovakia"
1889,"Ilnice, Czechoslovakia"
1885,"Hamburg, Germany"
1930,"Marosvasarhej, Romania"
1892,"Wien, Austria"
,"Nagydobos, Hungary"
,"Sarospatak, Hungary"
,"Osijek, Yugoslavia"
1928,"Marosvasarhely, Romania"
1888,"Budapest, Hungary"
1929,"Verkhni Remety, Czechoslovakia"
1888,"Budapest, Hungary"
1894,"Dresden, Germany"
1894,"Dresden, Germany"
1892,"Beograd, Yugoslavia"
1908,"Pinczow, Poland"
1899,Hungary
1895,"Strabicovo, Czechoslovakia"
1925,"Saloniki, Greece"
,"Budapest, Hungary"
,"Des, Romania"
,"Des, Romania"
,"Des, Romania"
1902,"Satoraljaujhely, Hungary"
1889,"Berlin, Germany"
1896,"Baja, Hungary"
,"Maehrisch Ostrau, Czechoslovakia"
1921,"Rhodes, Italy"
1875,Italy
1870,"Rhodes, Italy"
,"Rhodes, Italy"
1908,"Beograd, Yugoslavia"
1910,"Beograd, Yugoslavia"
1876,"Tinnye, Hungary"
1896,"Sremska Mitrovica, Yugoslavia"
1916,"Kladanj, Yugoslavia"
1904,"Kladanj, Yugoslavia"
1922,"Kladanj, Yugoslavia"
1926,"Kladanj, Yugoslavia"
1932,"Kladanj, Yugoslavia"
1928,"Kladanj, Yugoslavia"
1924,"Kladanj, Yugoslavia"
1941,"Kladanj, Yugoslavia"
1900,"Kladanj, Yugoslavia"
1914,"Kladanj, Yugoslavia"
1894,Hungary
,"Warszawa, Poland"
1918,"Piotrkow Trybunalski, Poland"
,"Nyiregyhaza, Hungary"
,"Nyiregyhaza, Hungary"
1895,"Sighet, Romania"
,"Veria, Greece"
1908,"Lodz, Poland"
1895,"Remecz, Romania"
1918,"Hajduboszormeny, Hungary"
