birth,location,date
1884,"'S Gravenhage, The Netherlands",1884.01.01
1895,"'S Gravenhage, The Netherlands",1895.01.01
1910,"'S Gravenhage, The Netherlands",1910.01.01
1912,"'S Gravenhage, The Netherlands",1912.01.01
1915,"'S Gravenhage, The Netherlands",1915.01.01
1917,"'S Gravenhage, The Netherlands",1917.01.01
1918,"'S Gravenhage, The Netherlands",1918.01.01
1918,"'S Gravenhage, The Netherlands",1918.01.01
1913,"'S Hertogenbosch, The Netherlands",1913.01.01
1899,"Łomża, Poland",1899.01.01
1923,"Łomża, Poland",1923.01.01
1927,"Łomża, Poland",1927.01.01
1883,"Aachen, Germany",1883.01.01
1900,"Aachen, Germany",1900.01.01
1900,"Aachen, Germany",1900.01.01
1922,"Abaujszanto, Hungary",1922.01.01
1897,"Abud, Romania",1897.01.01
1902,"Abud, Romania",1902.01.01
1933,"Acs, Hungary",1933.01.01
1898,"Ada, Yugoslavia",1898.01.01
1921,"Ada, Yugoslavia",1921.01.01
1925,"Ada, Yugoslavia",1925.01.01
1896,"Ajka, Hungary",1896.01.01
1927,"Ajka, Hungary",1927.01.01
1931,"Aknaszlatina, Czechoslovakia",1931.01.01
1937,"Aknaszlatina, Czechoslovakia",1937.01.01
1902,"Albertirsa, Hungary",1902.01.01
1936,"Alesd, Romania",1936.01.01
1916,"Alger, Algeria",1916.01.01
1897,"Alistal, Czechoslovakia",1897.01.01
1886,"Allenstein, Germany",1886.01.01
1904,"Almelo, The Netherlands",1904.01.01
1925,"Almelo, The Netherlands",1925.01.01
1906,"Alsace Lorraine Region, France",1906.01.01
1920,"Alsdorf, Germany",1920.01.01
1894,"Alsogalla, Hungary",1894.01.01
1898,"Alsogalla, Hungary",1898.01.01
1926,"Alsokosaly, Romania",1926.01.01
1911,"Altona, Germany",1911.01.01
1890,"Alwernia, Poland",1890.01.01
1900,"Amati, Romania",1900.01.01
1897,"Amberg, Germany",1897.01.01
1870,"Amsterdam, The Netherlands",1870.01.01
1875,"Amsterdam, The Netherlands",1875.01.01
1880,"Amsterdam, The Netherlands",1880.01.01
1882,"Amsterdam, The Netherlands",1882.01.01
1885,"Amsterdam, The Netherlands",1885.01.01
1888,"Amsterdam, The Netherlands",1888.01.01
1889,"Amsterdam, The Netherlands",1889.01.01
1889,"Amsterdam, The Netherlands",1889.01.01
1891,"Amsterdam, The Netherlands",1891.01.01
1891,"Amsterdam, The Netherlands",1891.01.01
1892,"Amsterdam, The Netherlands",1892.01.01
1892,"Amsterdam, The Netherlands",1892.01.01
1893,"Amsterdam, The Netherlands",1893.01.01
1895,"Amsterdam, The Netherlands",1895.01.01
1895,"Amsterdam, The Netherlands",1895.01.01
1895,"Amsterdam, The Netherlands",1895.01.01
1895,"Amsterdam, The Netherlands",1895.01.01
1896,"Amsterdam, The Netherlands",1896.01.01
1896,"Amsterdam, The Netherlands",1896.01.01
1897,"Amsterdam, The Netherlands",1897.01.01
1897,"Amsterdam, The Netherlands",1897.01.01
1897,"Amsterdam, The Netherlands",1897.01.01
1898,"Amsterdam, The Netherlands",1898.01.01
1898,"Amsterdam, The Netherlands",1898.01.01
1899,"Amsterdam, The Netherlands",1899.01.01
1899,"Amsterdam, The Netherlands",1899.01.01
1900,"Amsterdam, The Netherlands",1900.01.01
1900,"Amsterdam, The Netherlands",1900.01.01
1900,"Amsterdam, The Netherlands",1900.01.01
1901,"Amsterdam, The Netherlands",1901.01.01
1901,"Amsterdam, The Netherlands",1901.01.01
1901,"Amsterdam, The Netherlands",1901.01.01
1901,"Amsterdam, The Netherlands",1901.01.01
1901,"Amsterdam, The Netherlands",1901.01.01
1901,"Amsterdam, The Netherlands",1901.01.01
1901,"Amsterdam, The Netherlands",1901.01.01
1901,"Amsterdam, The Netherlands",1901.01.01
1901,"Amsterdam, The Netherlands",1901.01.01
1901,"Amsterdam, The Netherlands",1901.01.01
1901,"Amsterdam, The Netherlands",1901.01.01
1901,"Amsterdam, The Netherlands",1901.01.01
1902,"Amsterdam, The Netherlands",1902.01.01
1903,"Amsterdam, The Netherlands",1903.01.01
1903,"Amsterdam, The Netherlands",1903.01.01
1904,"Amsterdam, The Netherlands",1904.01.01
1904,"Amsterdam, The Netherlands",1904.01.01
1905,"Amsterdam, The Netherlands",1905.01.01
1905,"Amsterdam, The Netherlands",1905.01.01
1905,"Amsterdam, The Netherlands",1905.01.01
1905,"Amsterdam, The Netherlands",1905.01.01
1905,"Amsterdam, The Netherlands",1905.01.01
1906,"Amsterdam, The Netherlands",1906.01.01
1906,"Amsterdam, The Netherlands",1906.01.01
1906,"Amsterdam, The Netherlands",1906.01.01
1906,"Amsterdam, The Netherlands",1906.01.01
1906,"Amsterdam, The Netherlands",1906.01.01
1906,"Amsterdam, The Netherlands",1906.01.01
1907,"Amsterdam, The Netherlands",1907.01.01
1907,"Amsterdam, The Netherlands",1907.01.01
1907,"Amsterdam, The Netherlands",1907.01.01
1908,"Amsterdam, The Netherlands",1908.01.01
1908,"Amsterdam, The Netherlands",1908.01.01
1908,"Amsterdam, The Netherlands",1908.01.01
1908,"Amsterdam, The Netherlands",1908.01.01
1908,"Amsterdam, The Netherlands",1908.01.01
1908,"Amsterdam, The Netherlands",1908.01.01
1908,"Amsterdam, The Netherlands",1908.01.01
1908,"Amsterdam, The Netherlands",1908.01.01
1909,"Amsterdam, The Netherlands",1909.01.01
1909,"Amsterdam, The Netherlands",1909.01.01
1910,"Amsterdam, The Netherlands",1910.01.01
1910,"Amsterdam, The Netherlands",1910.01.01
1910,"Amsterdam, The Netherlands",1910.01.01
1910,"Amsterdam, The Netherlands",1910.01.01
1910,"Amsterdam, The Netherlands",1910.01.01
1911,"Amsterdam, The Netherlands",1911.01.01
1911,"Amsterdam, The Netherlands",1911.01.01
1911,"Amsterdam, The Netherlands",1911.01.01
1911,"Amsterdam, The Netherlands",1911.01.01
1911,"Amsterdam, The Netherlands",1911.01.01
1912,"Amsterdam, The Netherlands",1912.01.01
1912,"Amsterdam, The Netherlands",1912.01.01
1912,"Amsterdam, The Netherlands",1912.01.01
